Date,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
10/14/1999,10.725,5.451,5.9858299,4.23255798,0.88010063,5.54248197
10/15/1999,9.082,5.043,2.50711498,3.98898608,0.8809825,3.56540958
10/16/1999,6.883,2.878,4.48208139,3.03907234,0.89920358,4.0531518
10/17/1999,6.467,2.596,0.43087004,2.79009988,0.8315403,4.4263728
10/18/1999,6.343,-0.552,0.35362243,1.63758378,0.83561137,4.29204564
10/19/1999,5.631,-0.625,1.1020658,1.44185581,0.85069914,4.04741563
10/20/1999,4.501,-1.849,0.08926395,2.79166651,0.71614062,9.81488743
10/21/1999,5.369,-1.993,0,4.79638669,0.67534093,9.79194736
10/22/1999,6.132,-1.23,0,6.12784365,0.63153764,8.0612478
10/23/1999,9.661,1.68,0.18367788,6.28450103,0.76937045,4.7341674
10/24/1999,10.569,7.28,4.11558148,4.88824242,0.87302406,1.25713098
10/25/1999,15.689,9.374,0.84629045,3.40586925,0.87962263,2.12675616
10/26/1999,15.947,11.453,0.52700054,4.15594793,0.77651676,6.0072228
10/27/1999,13.416,8.675,2.48222305,6.24084537,0.73919351,1.03455036
10/28/1999,11.636,8.056,1.56555227,4.04607626,0.79572748,1.45394982
10/29/1999,9.657,7.461,1.32093356,3.49627367,0.81639988,1.44135009
10/30/1999,10.887,3.857,0.1579283,2.54194087,0.78865597,7.68363246
10/31/1999,15.473,4.918,0.85315735,4.32864488,0.8376423,5.5766268
11/1/1999,13.008,6.857,0.05836487,3.82615402,0.7301395,7.15319721
11/2/1999,14.827,7.818,0.29525777,3.93212101,0.72132969,4.13561052
11/3/1999,11.713,7.941,1.71575659,3.894128,0.79363774,2.76766938
11/4/1999,8.093,6.651,0.85229906,2.05427144,0.78052525,1.52803107
11/5/1999,8.062,3.395,0.01716613,3.38415243,0.80789958,5.96812734
11/6/1999,12.329,4.835,0.07553098,nan,0.89314533,4.35763368
11/7/1999,9.468,7.645,1.15699875,1.02234861,0.91280784,0.97874937
11/8/1999,7.753,5.795,1.25999467,2.78257775,0.88215623,1.32226855
11/9/1999,7.145,2.119,0.18281936,4.73492446,0.70039231,3.5058924
11/10/1999,2.78,-1.657,0.43687846,2.63220261,0.57408003,4.99128912
11/11/1999,2.73,-2.734,0.05407333,2.01693709,0.62064086,5.7074598
11/12/1999,2.837,-0.924,0.43001235,3.58010774,0.8863555,1.8399942
11/13/1999,5.832,0.804,0.10643005,3.98296184,0.79511035,3.406671
11/14/1999,2.565,-0.465,5.83133604,4.18923527,0.92002497,0.65801221
11/15/1999,1.06,-2.179,1.15356468,3.64895721,0.88358166,3.65844427
11/16/1999,0.327,-3.133,0.30641565,2.57263999,0.88030262,2.4399549
11/17/1999,0.331,-3.431,0.35018994,3.22460085,0.76188131,2.60302428
11/18/1999,-0.317,-1.427,7.81402467,1.17611444,0.92209212,1.3217058
11/19/1999,1.366,-1.498,3.42292719,2.05204205,0.91204689,2.18733775
11/20/1999,-0.588,-3.931,9.99927637,5.14815899,0.96011822,0.92216268
11/21/1999,-2.006,-4.637,3.0289662,3.6223377,0.96608491,1.8725634
11/22/1999,-1.99,-7.628,0.7278444,1.21721067,0.98240522,1.95435036
